,LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
199,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.5805104,-73.8361535,"(40.5805104, -73.8361535)",40.58,-73.8,dr5qzg
200,201,Queens,Rockaway Park,Boro Zone,40.7614177,-73.9502281671115,"(40.7614177, -73.9502281671115)",40.76,-74.,dr5rvh
201,202,Manhattan,Roosevelt Island,Boro Zone,40.6620479,-73.7354097,"(40.6620479, -73.7354097)",40.66,-73.7,dr5x64
202,203,Queens,Rosedale,Boro Zone,40.5434385,-74.1976441,"(40.5434385, -74.1976441)",40.54,-74.2,dr5nxs
203,204,Staten Island,Rossville/Woodrow,Boro Zone,40.6984364,-73.7606881,"(40.6984364, -73.7606881)",40.7,-73.8,dr5x98
204,205,Queens,Saint Albans,Boro Zone,40.645349,-74.0929616,"(40.645349, -74.0929616)",40.65,-74.1,dr5r1z
205,206,Staten Island,Saint George/New Brighton,Boro Zone,40.7453798,-73.9054145,"(40.7453798, -73.9054145)",40.75,-73.9,dr5ry1
206,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.8226008,-73.8095781,"(40.8226008, -73.8095781)",40.82,-73.8,dr780r
207,208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.7057752,-74.0028376,"(40.7057752, -74.0028376)",40.71,-74.,dr5rs4
208,209,Manhattan,Seaport,Yellow Zone,40.5826303,-73.9456187,"(40.5826303, -73.9456187)",40.58,-73.9,dr5qv7
209,210,Brooklyn,Sheepshead Bay,Boro Zone,40.72288,-73.9987505,"(40.72288, -73.9987505)",40.72,-74.,dr5rsj
210,211,Manhattan,SoHo,Yellow Zone,40.8266667,-73.8286111,"(40.8266667, -73.8286111)",40.83,-73.8,dr72rb
211,212,Bronx,Soundview/Bruckner,Boro Zone,40.8189076,-73.8499209,"(40.8189076, -73.8499209)",40.82,-73.8,dr72pw
212,213,Bronx,Soundview/Castle Hill,Boro Zone,40.5979271,-74.0980274,"(40.5979271, -74.0980274)",40.6,-74.1,dr5qcy
213,214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.6914852,-73.8056771,"(40.6914852, -73.8056771)",40.69,-73.8,dr5x2x
214,215,Queens,South Jamaica,Boro Zone,40.6701035,-73.8190231,"(40.6701035, -73.8190231)",40.67,-73.8,dr5x25
215,216,Queens,South Ozone Park,Boro Zone,33.775115,-79.59923,"(33.775115, -79.59923)",33.77,-79.6,dnp2hs
216,217,Brooklyn,South Williamsburg,Boro Zone,40.678159,-73.746521,"(40.678159, -73.746521)",40.68,-73.7,dr5x3v
217,218,Queens,Springfield Gardens North,Boro Zone,40.678159,-73.746521,"(40.678159, -73.746521)",40.68,-73.7,dr5x3v
218,219,Queens,Springfield Gardens South,Boro Zone,40.8787051,-73.9051408,"(40.8787051, -73.9051408)",40.88,-73.9,dr72w1
219,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.6264774,-74.0776361,"(40.6264774, -74.0776361)",40.62,-74.1,dr5r47
220,221,Staten Island,Stapleton,Boro Zone,40.6478541,-73.8795154568842,"(40.6478541, -73.8795154568842)",40.65,-73.9,dr5rnz
221,222,Brooklyn,Starrett City,Boro Zone,40.7745459,-73.9037477,"(40.7745459, -73.9037477)",40.77,-73.9,dr5ryq
222,223,Queens,Steinway,Boro Zone,40.7340429,-73.9776225,"(40.7340429, -73.9776225)",40.73,-74.,dr5rsx
223,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.6821123,-73.9347885534563,"(40.6821123, -73.9347885534563)",40.68,-73.9,dr5rmt
224,225,Brooklyn,Stuyvesant Heights,Boro Zone,40.7398242,-73.9354153,"(40.7398242, -73.9354153)",40.74,-73.9,dr5rv8
225,226,Queens,Sunnyside,Boro Zone,40.644337,-74.007532,"(40.644337, -74.007532)",40.65,-74.,dr5r5z
226,227,Brooklyn,Sunset Park East,Boro Zone,40.644337,-74.007532,"(40.644337, -74.007532)",40.65,-74.,dr5r5z
227,228,Brooklyn,Sunset Park West,Boro Zone,21.701497194,-157.99082937,"(21.701497194, -157.99082937)",21.7,-158.,87zeky
228,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.7802614,-73.9687746503599,"(40.7802614, -73.9687746503599)",40.78,-74.,dr5ruz
229,230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.7141,-74.0028,"(40.7141, -74.0028)",40.71,-74.,dr5rs5
230,231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.7152812,-73.9892866198562,"(40.7152812, -73.9892866198562)",40.71,-74.,dr5rs7
231,232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.754,-73.9668,"(40.754, -73.9668)",40.76,-74.,dr5rug
232,233,Manhattan,UN/Turtle Bay South,Yellow Zone,45.502991,-73.567464,"(45.502991, -73.567464)",45.5,-73.6,f25dvg
233,234,Manhattan,Union Sq,Yellow Zone,40.8498223,-73.919859,"(40.8498223, -73.919859)",40.85,-73.9,dr72mu
234,235,Bronx,University Heights/Morris Heights,Boro Zone,40.7735431,-73.9587337,"(40.7735431, -73.9587337)",40.77,-74.,dr5rvn
235,236,Manhattan,Upper East Side North,Yellow Zone,40.7735431,-73.9587337,"(40.7735431, -73.9587337)",40.77,-74.,dr5rvn
236,237,Manhattan,Upper East Side South,Yellow Zone,40.7870455,-73.9754163,"(40.7870455, -73.9754163)",40.79,-74.,dr72h9
237,238,Manhattan,Upper West Side North,Yellow Zone,40.7870455,-73.9754163,"(40.7870455, -73.9754163)",40.79,-74.,dr72h9
238,239,Manhattan,Upper West Side South,Yellow Zone,40.89725145,-73.8864989944736,"(40.89725145, -73.8864989944736)",40.9,-73.9,dr72wt
239,240,Bronx,Van Cortlandt Park,Boro Zone,40.897934,-73.885948,"(40.897934, -73.885948)",40.9,-73.9,dr72wt
240,241,Bronx,Van Cortlandt Village,Boro Zone,40.8523224,-73.8534682,"(40.8523224, -73.8534682)",40.85,-73.9,dr72rk
241,242,Bronx,Van Nest/Morris Park,Boro Zone,40.8501001,-73.9354149,"(40.8501001, -73.9354149)",40.85,-73.9,dr72ms
242,243,Manhattan,Washington Heights North,Boro Zone,40.8501001,-73.9354149,"(40.8501001, -73.9354149)",40.85,-73.9,dr72ms
243,244,Manhattan,Washington Heights South,Boro Zone,40.645349,-74.0929616,"(40.645349, -74.0929616)",40.65,-74.1,dr5r1z
244,245,Staten Island,West Brighton,Boro Zone,40.7535011,-74.0032370110498,"(40.7535011, -74.0032370110498)",40.75,-74.,dr5ru4
245,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.8224316,-73.9229433,"(40.8224316, -73.9229433)",40.82,-73.9,dr72jz
246,247,Bronx,West Concourse,Boro Zone,40.9342192,-73.8348644,"(40.9342192, -73.8348644)",40.93,-73.8,dr72zg
247,248,Bronx,West Farms/Bronx River,Boro Zone,40.7902778,-73.9597222,"(40.7902778, -73.9597222)",40.79,-74.,dr72j1
248,249,Manhattan,West Village,Yellow Zone,40.8273229,-73.8501349,"(40.8273229, -73.8501349)",40.83,-73.9,dr72r2
249,250,Bronx,Westchester Village/Unionport,Boro Zone,40.621215,-74.1318094,"(40.621215, -74.1318094)",40.62,-74.1,dr5r14
250,251,Staten Island,Westerleigh,Boro Zone,40.7945457,-73.8184674,"(40.7945457, -73.8184674)",40.79,-73.8,dr7804
251,252,Queens,Whitestone,Boro Zone,40.7546149,-73.8456598,"(40.7546149, -73.8456598)",40.76,-73.8,dr5rze
252,253,Queens,Willets Point,Boro Zone,40.8780971,-73.8681175,"(40.8780971, -73.8681175)",40.88,-73.9,dr72x1
253,254,Bronx,Williamsbridge/Olinville,Boro Zone,40.7081,-73.9571,"(40.7081, -73.9571)",40.71,-74.,dr5rt4
254,255,Brooklyn,Williamsburg (North Side),Boro Zone,40.7081,-73.9571,"(40.7081, -73.9571)",40.71,-74.,dr5rt4
255,256,Brooklyn,Williamsburg (South Side),Boro Zone,45.117874,-93.319572,"(45.117874, -93.319572)",45.12,-93.3,cbj8sm
256,257,Brooklyn,Windsor Terrace,Boro Zone,40.6892698,-73.8579131,"(40.6892698, -73.8579131)",40.69,-73.9,dr5rrr
257,258,Queens,Woodhaven,Boro Zone,40.8978772,-73.8523569,"(40.8978772, -73.8523569)",40.9,-73.9,dr72xm
258,259,Bronx,Woodlawn/Wakefield,Boro Zone,40.7453798,-73.9054145,"(40.7453798, -73.9054145)",40.75,-73.9,dr5ry1
259,260,Queens,Woodside,Boro Zone,40.7118914,-74.0126129,"(40.7118914, -74.0126129)",40.71,-74.,dr5reg
260,261,Manhattan,World Trade Center,Yellow Zone,40.7789173,-73.9541667,"(40.7789173, -73.9541667)",40.78,-74.,dr5rvp
261,262,Manhattan,Yorkville East,Yellow Zone,40.7789173,-73.9541667,"(40.7789173, -73.9541667)",40.78,-74.,dr5rvp
262,263,Manhattan,Yorkville West,Yellow Zone,35.4756892,-114.8287477,"(35.4756892, -114.8287477)",35.48,-114.8,9qq3g4
263,264,Unknown,NV,,0.0,0.0,"(0, 0)",-0.,-0.,7zzzzz
264,265,Unknown,,,0.0,0.0,"(0, 0)",-0.,-0.,7zzzzz
